Date,USD Exchange Rate
2016/10/28,63.0399
2016/10/29,62.9037
2016/11/01,63.2174
2016/11/02,63.2025
2016/11/03,63.4166
2016/11/04,63.5043
2016/11/08,63.9074
2016/11/09,63.7364
2016/11/10,63.8928
2016/11/11,63.4161
2016/11/12,65.2167
2016/11/15,65.8591
2016/11/16,65.5548
2016/11/17,64.5463
2016/11/18,64.9154
2016/11/19,65.1023
2016/11/22,64.358
2016/11/23,63.6282
2016/11/24,64.0087
2016/11/25,64.6279
2016/11/26,64.6174
2016/11/29,64.9153
2016/11/30,64.9449
2016/12/01,65.2382
2016/12/02,63.6807
2016/12/03,64.1528
2016/12/06,63.9242
2016/12/07,63.8741
2016/12/08,63.9114
2016/12/09,63.3901
2016/12/10,63.3028
2016/12/13,61.5804
2016/12/14,61.069
2016/12/15,60.8079
2016/12/16,61.6368
2016/12/17,61.7515
2016/12/20,61.7931
2016/12/21,61.7967
2016/12/22,61.1092
2016/12/23,60.8641
2016/12/24,60.8528
2016/12/27,60.9084
2016/12/28,60.8587
2016/12/29,60.6669
2016/12/30,60.273
2016/12/31,60.6569
2017/01/10,59.8961
2017/01/11,59.9533
2017/01/12,60.1614
2017/01/13,59.4978
2017/01/14,59.37
2017/01/17,59.6067
2017/01/18,59.4015
2017/01/19,59.183
2017/01/20,59.3521
2017/01/21,59.6697
2017/01/24,59.5034
2017/01/25,59.2168
2017/01/26,59.1489
2017/01/27,59.6356
2017/01/28,60.3196
2017/01/31,60.1618
2017/02/01,60.0851
2017/02/02,60.3099
2017/02/03,59.9858
2017/02/04,59.3137
2017/02/07,58.7121
2017/02/08,59.1933
2017/02/09,59.5129
2017/02/10,59.0235
2017/02/11,58.8457
2017/02/14,58.0619
2017/02/15,57.7388
2017/02/16,56.7719
2017/02/17,57.1507
2017/02/18,57.6342
2017/02/21,58.0967
2017/02/22,57.859
2017/02/23,57.4762
2017/02/28,57.9371
2017/03/01,57.9627
2017/03/02,58.3776
2017/03/03,58.4067
2017/03/04,58.9099
2017/03/07,58.337
2017/03/08,58.263
2017/03/10,58.8318
2017/03/11,59.2174
2017/03/14,59.1327
2017/03/15,58.954
2017/03/16,59.1128
2017/03/17,58.2437
2017/03/18,57.9344
2017/03/21,57.2847
2017/03/22,57.2323
2017/03/23,57.636
2017/03/24,57.5228
2017/03/25,57.4247
2017/03/28,57.0233
2017/03/29,56.9364
